price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
title:波尔多珍藏红葡萄酒（又名：珍藏波尔多法定产区红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞波尔多珍藏红葡萄酒（又名：珍藏波尔多法定产区红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）|price:89.0
title:拉昂城堡干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞拉昂城堡干红葡萄酒|price:48.0
title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒|price:68.0
title:蒙特斯经典赤霞珠|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典赤霞珠|price:79.0
title:莫拉德干红葡萄酒（FSA）|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞莫拉德干红葡萄酒（FSA）|price:39.0
title:洛神山庄西拉赤霞珠干红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄西拉赤霞珠干红葡萄酒(又名：洛神山庄设拉子赤霞珠红葡萄酒)|price:55.0
title:【我爱红酒】缘结今生干红葡萄酒|sezhe:酒精度11.0%|crumb:选酒中心＞红葡萄酒＞干红＞【我爱红酒】缘结今生干红葡萄酒|price:也买价:138.0
title:爱思特城堡干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞爱思特城堡干红葡萄酒|price:120.0
title:蒙特斯经典马尔贝(又名蒙特斯经典玛儿贝或蒙特斯马尔贝克干红葡萄酒）|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典马尔贝(又名蒙特斯经典玛儿贝或蒙特斯马尔贝克干红葡萄酒）|price:99.0
title:贝尔莱珍藏干红葡萄酒（里奥哈）（2011）|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱珍藏干红葡萄酒（里奥哈）（2011）|price:138.0
title:干露红魔鬼卡本妮苏维翁红葡萄酒（又名：红魔鬼赤霞珠红葡萄酒）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼卡本妮苏维翁红葡萄酒（又名：红魔鬼赤霞珠红葡萄酒）|price:69.0
title:黄尾袋鼠西拉红葡萄酒（又名：黄尾袋鼠西拉子红葡萄酒）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠西拉红葡萄酒（又名：黄尾袋鼠西拉子红葡萄酒）|price:59.0
title:火地岛经典赤霞珠干红葡萄酒-6支装|sezhe:酒精度13.0%|crumb:选酒中心＞其他＞火地岛经典赤霞珠干红葡萄酒-6支装|price:219.0
title:黄尾袋鼠西拉红葡萄酒-6支装|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞黄尾袋鼠西拉红葡萄酒-6支装|price:259.0
title:维莎梅洛干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞维莎梅洛干红葡萄酒|price:49.0
title:欧娜干红葡萄酒（FSA）|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞欧娜干红葡萄酒（FSA）|price:39.0
title:克拉希湾干红葡萄酒|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞克拉希湾干红葡萄酒|price:55.0
title:法国波尔多浓情玫瑰红葡萄酒|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞法国波尔多浓情玫瑰红葡萄酒|price:88.0
title:永恒之约特酿干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞永恒之约特酿干红葡萄酒|price:59.0
title:欧娜干红葡萄酒（FSA）-6支装|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞欧娜干红葡萄酒（FSA）-6支装|price:179.0
title:意大利之花甜起泡酒2支装（甜+桃红）|sezhe:酒精度8.0%|crumb:选酒中心＞其他＞意大利之花甜起泡酒2支装（甜+桃红）|price:118.0
title:贝马格雷波尔多干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞贝马格雷波尔多干红葡萄酒|price:89.0
title:莎普蒂尔比拉干红葡萄酒|sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞莎普蒂尔比拉干红葡萄酒|price:89.0
title:修士庄园干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞修士庄园干红葡萄酒|price:88.0
title:小龙船红葡萄酒|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞小龙船红葡萄酒|price:188.0
title:冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）750ml（促销活动）|sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）750ml（促销活动）|price:89.0
title:欧娜干红葡萄酒（FSA)整箱12支加两支拉伸红酒杯|sezhe:酒精度12.0%|crumb:选酒中心＞其他＞欧娜干红葡萄酒（FSA)整箱12支加两支拉伸红酒杯|price:249.0
title:洛加干红葡萄酒|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞洛加干红葡萄酒|price:69.0
title:拉菲传说波尔多红葡萄酒(又名：传说波尔多红葡萄酒)|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞拉菲传说波尔多红葡萄酒(又名：传说波尔多红葡萄酒)|price:69.0
title:玛丽亚海之情干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞玛丽亚海之情干红葡萄酒|price:35.0
title:59元幸运福袋|sezhe:|crumb:选酒中心＞其他＞59元幸运福袋|price:19.0
title:桃乐丝公牛血金标干红葡萄酒（新标）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝公牛血金标干红葡萄酒（新标）|price:108.0
title:8周年镇站之宝感恩礼包（配酒具3件套）|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞8周年镇站之宝感恩礼包（配酒具3件套）|price:259.0
title:恋爱季甜桃红高泡葡萄酒双支香槟杯套装|sezhe:酒精度8%vol|crumb:选酒中心＞其他＞恋爱季甜桃红高泡葡萄酒双支香槟杯套装|price:68.0
title:恋爱季红白甜蜜之吻(恋爱季甜桃红高泡&甜白高泡)|sezhe:酒精度8%vol|crumb:选酒中心＞其他＞恋爱季红白甜蜜之吻(恋爱季甜桃红高泡&甜白高泡)|price:99.0
title:速度与基情(康纳斯顿+雪鹿山)|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞速度与基情(康纳斯顿+雪鹿山)|price:99.0
title:康纳斯顿全系列品鉴组合（6支装）【直播专享】|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞康纳斯顿全系列品鉴组合（6支装）【直播专享】|price:也买价:1211.8
title:康纳斯顿全系列品鉴组合（6支装）|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞康纳斯顿全系列品鉴组合（6支装）|price:259.0
title:康纳斯顿IX9珍藏赤霞珠干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX9珍藏赤霞珠干红葡萄酒|price:68.0
title:康纳斯顿IX6珍藏西拉干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX6珍藏西拉干红葡萄酒|price:59.0
title:奔富麦克斯赤霞珠干红葡萄酒|sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞奔富麦克斯赤霞珠干红葡萄酒|price:328.0
title:美缇克窖藏干红葡萄酒|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美缇克窖藏干红葡萄酒|price:也买价:578.0
title:美景湾普米尔赤霞珠干红葡萄酒|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞美景湾普米尔赤霞珠干红葡萄酒|price:298.0
title:法国AOC大礼包（夏普朗+拉昂+克拉希湾+阿诺贝提+修士庄园+杜葡）|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞法国AOC大礼包（夏普朗+拉昂+克拉希湾+阿诺贝提+修士庄园+杜葡）|price:299.0
title:银葩赤霞珠干红葡萄酒|sezhe:酒精度13.50%|crumb:选酒中心＞红葡萄酒＞干红＞银葩赤霞珠干红葡萄酒|price:188.0
title:薄若莱新酒超值组合|sezhe:酒精度13%|crumb:选酒中心＞其他＞薄若莱新酒超值组合|price:也买价:606.0
title:拉薇甜白葡萄酒|sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞甜白＞拉薇甜白葡萄酒|price:89.0
title:康纳斯顿IX9赤霞珠干红葡萄酒【秒杀】|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX9赤霞珠干红葡萄酒【秒杀】|price:也买价:158.0
title:野葡萄树黑莓风味梅洛配制酒|sezhe:酒精度6.0%|crumb:选酒中心＞其他＞野葡萄树黑莓风味梅洛配制酒|price:59.0
title:哈罗德干红葡萄酒-6支装|sezhe:酒精度12.50%|crumb:选酒中心＞其他＞哈罗德干红葡萄酒-6支装|price:199.0
title:小飞卓庄园干红葡萄酒2004(名庄)|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞小飞卓庄园干红葡萄酒2004(名庄)|price:179.0
title:粉猫雷司令半甜白葡萄酒|sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞粉猫雷司令半甜白葡萄酒|price:79.0
title:佳美妃霞多丽-大芒森白葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞白葡萄酒＞半干白＞佳美妃霞多丽-大芒森白葡萄酒|price:68.0
title:银葩仙粉黛干红葡萄酒|sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞银葩仙粉黛干红葡萄酒|price:188.0
title:弗朗古堡干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞弗朗古堡干红葡萄酒|price:88.0
title:爱之堡浓情干红葡萄酒【秒杀】|sezhe:|crumb:选酒中心＞其他＞爱之堡浓情干红葡萄酒【秒杀】|price:也买价:128.0
title:腾塔堡达希塔巴罗萨梅洛干红葡萄酒|sezhe:酒精度14.50%|crumb:选酒中心＞红葡萄酒＞干红＞腾塔堡达希塔巴罗萨梅洛干红葡萄酒|price:179.0
title:巴黎范儿希拉桃红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞桃红葡萄酒＞干型桃红＞巴黎范儿希拉桃红葡萄酒|price:59.0
title:露品庄园干红葡萄酒|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞露品庄园干红葡萄酒|price:78.0
title:蒙特斯晚收贵腐甜白葡萄酒375ml|sezhe:酒精度12.0%|crumb:选酒中心＞白葡萄酒＞贵腐酒＞蒙特斯晚收贵腐甜白葡萄酒375ml|price:149.0
title:莎普蒂尔比拉干红葡萄酒-6支装|sezhe:酒精度14.5%|crumb:选酒中心＞其他＞莎普蒂尔比拉干红葡萄酒-6支装|price:459.0
title:乔治杜博夫薄若莱新酒三支套装（大区+2支村庄）|sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒三支套装（大区+2支村庄）|price:476.0
title:乔治杜博夫薄若莱新酒双支套装（大区+村庄）|sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒双支套装（大区+村庄）|price:318.0
title:美酒密探半干红葡萄酒|sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞美酒密探半干红葡萄酒|price:89.0
title:乐卡福地普洛塞克高泡葡萄酒|sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞乐卡福地普洛塞克高泡葡萄酒|price:78.0
title:杜葡庄园干红葡萄酒-6支装|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞杜葡庄园干红葡萄酒-6支装|price:219.0
title:劳伦米格尔父子系列赤霞珠西拉干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞劳伦米格尔父子系列赤霞珠西拉干红葡萄酒|price:199.0
title:奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）|sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）|price:89.0
title:月满中秋组合|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞月满中秋组合|price:也买价:2290.0
title:赵薇斯奈哈克城堡干红葡萄酒*6|sezhe:酒精度14%|crumb:选酒中心＞其他＞赵薇斯奈哈克城堡干红葡萄酒*6|price:988.0
title:赵薇斯奈哈克城堡干红葡萄酒2010-双支装|sezhe:酒精度14%|crumb:选酒中心＞其他＞赵薇斯奈哈克城堡干红葡萄酒2010-双支装|price:299.0
title:赵薇-斯奈哈克城堡(超级波尔多)双支礼盒装|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇-斯奈哈克城堡(超级波尔多)双支礼盒装|price:358.0
title:赵薇-（帕塔拉贝+斯奈哈克）双支礼盒装|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇-（帕塔拉贝+斯奈哈克）双支礼盒装|price:458.0
title:8周年庆特献-超值精品组合（送酒具3件套）|sezhe:酒精度14%|crumb:选酒中心＞其他＞8周年庆特献-超值精品组合（送酒具3件套）|price:888.0
title:帕克高分酒猴年礼盒（普莱萨斯庄园干白葡萄酒+莱萨斯庄园干红葡萄酒）|sezhe:酒精度12%|crumb:选酒中心＞其他＞帕克高分酒猴年礼盒（普莱萨斯庄园干白葡萄酒+莱萨斯庄园干红葡萄酒）|price:278.0
title:帕克高分酒（普莱萨斯庄园干白葡萄酒+普莱萨斯庄园干红葡萄酒）-2支装|sezhe:酒精度12%|crumb:选酒中心＞其他＞帕克高分酒（普莱萨斯庄园干白葡萄酒+普莱萨斯庄园干红葡萄酒）-2支装|price:418.0
title:佳雅干红葡萄酒-6支装|sezhe:酒精度12.00%|crumb:选酒中心＞其他＞佳雅干红葡萄酒-6支装|price:229.0
title:超值4+2（拉菲传说+佳雅干红）|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞超值4+2（拉菲传说+佳雅干红）|price:299.0
title:爆款新手必备红酒套装（佳雅干红6支装+酒具配件组合）|sezhe:酒精度12.00%|crumb:选酒中心＞红葡萄酒＞干红＞爆款新手必备红酒套装（佳雅干红6支装+酒具配件组合）|price:259.0
title:新手必备红酒套装（佳雅干红6支装+酒具三件套配件组合）|sezhe:酒精度12.00%|crumb:选酒中心＞其他＞新手必备红酒套装（佳雅干红6支装+酒具三件套配件组合）|price:229.0
title:家宴组合|sezhe:酒精度14.0%|crumb:选酒中心＞其他＞家宴组合|price:也买价:966.0
title:大小组合（买波尔多侯爵1.5L得750ML）|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞大小组合（买波尔多侯爵1.5L得750ML）|price:397.0
title:红酒节特惠-中高端1|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞红酒节特惠-中高端1|price:也买价:1254.0
title:波尔多侯爵-6支装|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞波尔多侯爵-6支装|price:1068.0
title:波尔多侯爵干红葡萄酒-双支礼盒|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞波尔多侯爵干红葡萄酒-双支礼盒|price:258.0
title:畅游法国组合（六大产区）|sezhe:酒精度13.0%|crumb:选酒中心＞其他＞畅游法国组合（六大产区）|price:499.0
title:黄尾袋鼠起泡葡萄酒|sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞黄尾袋鼠起泡葡萄酒|price:89.0
title:艾美城堡干红葡萄酒|sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞艾美城堡干红葡萄酒|price:98.0
title:赵薇帕塔拉贝干红葡萄酒2010|sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞赵薇帕塔拉贝干红葡萄酒2010|price:258.0
title:双掌（画廊系列）麦罗仑谷穗乐仙红葡萄酒|sezhe:酒精度14.8%|crumb:选酒中心＞红葡萄酒＞干红＞双掌（画廊系列）麦罗仑谷穗乐仙红葡萄酒|price:688.0
title:黑猫雷司令甜白葡萄酒|sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞黑猫雷司令甜白葡萄酒|price:120.0
title:39元幸运福袋|sezhe:|crumb:选酒中心＞其他＞39元幸运福袋|price:也买价:39.0
title:玛丽亚海之情干红葡萄酒12支装|sezhe:酒精度12.0%|crumb:选酒中心＞其他＞玛丽亚海之情干红葡萄酒12支装|price:198.0
title:伴你时热带水果味配制酒|sezhe:酒精度4.0%|crumb:选酒中心＞其他＞伴你时热带水果味配制酒|price:149.0
title:黄尾袋鼠加本力梅洛红葡萄酒（又名黄尾袋鼠红葡萄酒）蓝标|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠加本力梅洛红葡萄酒（又名黄尾袋鼠红葡萄酒）蓝标|price:59.0
title:劳伦米格尔工匠系列费叶合干红葡萄酒|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞劳伦米格尔工匠系列费叶合干红葡萄酒|price:199.0
title:圣诞节圣乔威干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞圣诞节圣乔威干红葡萄酒|price:69.0
title:天使鱼珊瑚系列西拉红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞天使鱼珊瑚系列西拉红葡萄酒|price:99.0
title:蒙特斯经典梅洛干红葡萄酒-6支装|sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典梅洛干红葡萄酒-6支装|price:459.0
title:普莱萨斯庄园干白葡萄酒|sezhe:酒精度12%|crumb:选酒中心＞白葡萄酒＞干白＞普莱萨斯庄园干白葡萄酒|price:188.0
title:富贵金羊干红葡萄酒1.5L（FSA）|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞富贵金羊干红葡萄酒1.5L（FSA）|price:299.0
title:巴托城堡干红葡萄酒|sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞巴托城堡干红葡萄酒|price:108.0
title:佳美妃西拉-歌海娜红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞佳美妃西拉-歌海娜红葡萄酒|price:59.0
title:干露红魔鬼设拉子红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞干露红魔鬼设拉子红葡萄酒|price:79.0
title:洛神山庄梅洛红葡萄酒-6支装（奔富酒厂出品）|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞洛神山庄梅洛红葡萄酒-6支装（奔富酒厂出品）|price:299.0
title:维莎赤霞珠干红葡萄酒6支装|sezhe:酒精度13.0%|crumb:选酒中心＞其他＞维莎赤霞珠干红葡萄酒6支装|price:279.0
title:蒙特斯经典干红大礼包6支装（马尔贝+赤霞珠+梅洛）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞蒙特斯经典干红大礼包6支装（马尔贝+赤霞珠+梅洛）|price:459.0
title:伯瑞牌干型皇家香槟|sezhe:酒精度12.50%|crumb:选酒中心＞香槟＞干香槟＞伯瑞牌干型皇家香槟|price:299.0
title:蓝猫雷司令半甜白葡萄酒|sezhe:酒精度10.0%|crumb:选酒中心＞白葡萄酒＞半甜白＞蓝猫雷司令半甜白葡萄酒|price:89.0
title:安德斯托卡伊半贵腐葡萄酒500ml-2支装（又名：安德斯伯爵托卡伊晚收白葡萄酒）|sezhe:酒精度13.50%|crumb:选酒中心＞其他＞安德斯托卡伊半贵腐葡萄酒500ml-2支装（又名：安德斯伯爵托卡伊晚收白葡萄酒）|price:229.0
title:拉昂城堡珍藏超级波尔多-6支装|sezhe:酒精度12.5%|crumb:选酒中心＞其他＞拉昂城堡珍藏超级波尔多-6支装|price:359.0
title:波尔多侯爵干红葡萄酒1.5L（帕图斯神秘酒款）|sezhe:酒精度13.5%|crumb:选酒中心＞其他＞波尔多侯爵干红葡萄酒1.5L（帕图斯神秘酒款）|price:399.0
title:索艾干红葡萄酒（FSA）【秒杀】|sezhe:|crumb:选酒中心＞其他＞索艾干红葡萄酒（FSA）【秒杀】|price:也买价:128.0
title:米兰之恋甜起泡葡萄酒|sezhe:酒精度9.5%|crumb:选酒中心＞起泡酒＞甜起泡酒＞米兰之恋甜起泡葡萄酒|price:也买价:218.0
title:美娜城堡干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞美娜城堡干红葡萄酒|price:也买价:188.0
title:意大利之花桃红起泡葡萄酒甜型|sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞意大利之花桃红起泡葡萄酒甜型|price:88.0
title:Relax系列蓝司令（又名：雷司令白葡萄酒）|sezhe:酒精度9.5%|crumb:选酒中心＞白葡萄酒＞半干白＞Relax系列蓝司令（又名：雷司令白葡萄酒）|price:69.0
title:普瓦图庄园干红葡萄酒（中级庄）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞普瓦图庄园干红葡萄酒（中级庄）|price:118.0
title:勃朗经典干红葡萄酒（又名：勃朗干红葡萄酒）|sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞勃朗经典干红葡萄酒（又名：勃朗干红葡萄酒）|price:49.0
title:哈罗德干红葡萄酒|sezhe:酒精度12.50%|crumb:选酒中心＞红葡萄酒＞干红＞哈罗德干红葡萄酒|price:49.0
title:菲兰特利爱之恋干红葡萄酒西班牙排名前三的酒庄|sezhe:酒精度12%|crumb:选酒中心＞红葡萄酒＞干红＞菲兰特利爱之恋干红葡萄酒西班牙排名前三的酒庄|price:也买价:149.0
title:黄尾袋鼠珍藏西拉红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠珍藏西拉红葡萄酒|price:89.0
title:尚品波尔多法定产区红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞尚品波尔多法定产区红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）|price:109.0
title:黄尾袋鼠梅洛红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞半干红＞黄尾袋鼠梅洛红葡萄酒|price:59.0
title:图卡斯特隆酒庄干红葡萄酒（中级庄）|sezhe:酒精度0.13|crumb:选酒中心＞红葡萄酒＞干红＞图卡斯特隆酒庄干红葡萄酒（中级庄）|price:99.0
title:康纳斯顿经典法国干红葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿经典法国干红葡萄酒|price:59.0
title:教堂山优雾晚收甜白葡萄酒|sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞甜白＞教堂山优雾晚收甜白葡萄酒|price:199.0
title:智慧树晚秋甜白葡萄酒|sezhe:酒精度9.5%|crumb:选酒中心＞白葡萄酒＞甜白＞智慧树晚秋甜白葡萄酒|price:75.0
title:洛神山庄梅洛红葡萄酒（又名：奔富洛神山庄梅洛干红葡萄酒）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞洛神山庄梅洛红葡萄酒（又名：奔富洛神山庄梅洛干红葡萄酒）|price:59.0
title:阿诺贝提庄园干红葡萄酒|sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞阿诺贝提庄园干红葡萄酒|price:88.0
title:美景湾白苏维翁干白葡萄酒|sezhe:酒精度13.0%|crumb:选酒中心＞白葡萄酒＞干白＞美景湾白苏维翁干白葡萄酒|price:69.0
title:薄若莱新酒乔治杜博夫巴黎派对干红葡萄酒2016|sezhe:|crumb:选酒中心＞其他＞薄若莱新酒乔治杜博夫巴黎派对干红葡萄酒2016|price:159.0
title:贝尔莱佳酿干红葡萄酒（里奥哈）|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱佳酿干红葡萄酒（里奥哈）|price:89.0
title:夏迪威艾赤霞珠干红葡萄酒|sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞夏迪威艾赤霞珠干红葡萄酒|price:69.0
title:恋曲甜起泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞恋曲甜起泡葡萄酒|price:69.0
